,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Thailand,59,139,228,312,420,534,654,797,956,1058
COVID-19,0,0,0,0,0,0,29,108,216,282
Inflammation,24,35,51,73,94,120,144,176,191,203
Hadron-Hadron scattering (experiments),0,0,18,43,102,138,170,198,198,198
CMS,13,36,63,94,121,143,163,173,180,192
HIV,11,20,36,51,71,92,112,129,148,165
Oxidative stress,12,23,35,50,63,80,99,121,126,133
Depression,17,27,41,57,73,84,99,118,124,132
Physics,8,25,49,74,99,115,129,131,131,131
Asia,9,21,33,47,58,69,92,103,117,128
